"Jour","Mois","Titre","Catégorie","Stat","Difficulté","Temps","Coût","Objectif","Pourquoi","Instructions","Variante facile","Variante difficile","Récompense","Statut","Validé","Date de validation","Ressenti"
"11","Mois 1","Le menu fait maison","Santé","Vitalité","2","20 min","~3 €","Préparer toi-même un repas simple au lieu de commander ou d'acheter du tout-prêt.","Cuisiner, même basique, te redonne le contrôle sur ce que tu manges et casse l'automatisme de la livraison facile.","Choisis une recette simple (œufs, pâtes maison, salade complète). 2. Prépare-la entièrement toi-même, sans plat préparé. 3. Mange-la posément, sans écran, et note la différence de satisfaction.","Améliore un plat de base avec des ingrédients frais ajoutés.","Cuisine un repas que tu n'as jamais fait avant.","Tu te sens autonome et capable. Manger ce que tu as créé a un goût différent.","À venir","Non","",""
"12","Mois 1","Quinze minutes pour apprendre","Apprentissage","Savoir","2","15 min","0 €","Apprendre une chose précise et nouvelle pendant quinze minutes ciblées.","Nourrir activement ta curiosité plutôt que de consommer passivement entretient ton cerveau et ton sentiment de progresser.","Choisis un sujet précis qui t'intrigue (un raccourci clavier, un mot d'une langue, un concept). 2. Apprends-le activement : note, répète, reformule avec tes mots. 3. Explique-le mentalement comme si tu l'enseignais à quelqu'un.","Apprends une seule information mémorable en 5 minutes.","Apprends quelque chose ET applique-le concrètement dans la foulée.","Tu sens ton esprit s'ouvrir. Apprendre par choix est valorisant.","À venir","Non","",""
"13","Mois 1","Le solde regardé en face","Finances","Prospérité","2","10 min","0 €","Regarder honnêtement le solde de ton compte et tes dépenses de la semaine.","On évite souvent ses comptes par anxiété. Les regarder en face enlève le flou et te redonne du pouvoir sur ton argent.","Ouvre ton appli bancaire ou ton relevé. 2. Note ton solde actuel et repère tes trois plus grosses dépenses récentes. 3. Identifie une dépense que tu pourrais éviter la semaine prochaine.","Regarde simplement ton solde et respire un coup.","Trie tes dépenses du mois en deux colonnes : essentiel / superflu.","Tu remplaces l'angoisse du flou par la clarté des chiffres. Plus de fuite.","À venir","Non","",""
"14","Mois 1","La photo qui raconte","Créativité","Création","2","15 min","0 €","Prendre une photo soignée d'un détail ordinaire de ton quotidien.","Chercher la beauté dans le banal réveille ton œil créatif et t'apprend à être présent à ce qui t'entoure.","Observe autour de toi un détail que tu ignores d'habitude (lumière, texture, ombre). 2. Prends le temps de cadrer une vraie photo, pas un cliché pris à la va-vite. 3. Regarde le résultat et demande-toi ce qui t'a attiré dans cette image.","Prends trois photos rapides et garde la meilleure.","Compose ta photo autour d'une seule couleur dominante.","Tu redécouvres ton environnement avec un regard neuf. La créativité ne dort plus.","À venir","Non","",""
"15","Mois 1","La pause respiration","Gestion des émotions","Mental","2","10 min","0 €","Faire dix minutes de respiration calme et consciente.","Apprendre à ralentir ton souffle te donne un bouton « pause » utilisable n'importe quand pour gérer stress et impulsivité. Tu es à mi-mois : ancre cette compétence.","Assieds-toi confortablement, dos droit, yeux fermés. 2. Inspire 4 secondes, retiens 2, expire 6, et recommence. 3. Quand ton esprit dérive, ramène-le doucement à ton souffle.","Fais-le pendant 5 minutes avec une appli guidée.","Fais-le sans support audio, en comptant toi-même chaque cycle.","Tu découvres que le calme est à portée de souffle. Un outil pour la vie.","À venir","Non","",""
"16","Mois 1","Le défi de l'inconnu local","Aventure","Courage","2","20 min","0 €","Explorer une rue ou un lieu de ton quartier que tu n'as jamais vraiment regardé.","L'aventure ne demande pas un billet d'avion. Casser ta routine de trajet réveille ta curiosité et brise la sensation de monotonie.","Choisis une direction que tu ne prends jamais. 2. Marche en observant comme un touriste dans ta propre ville. 3. Repère un endroit, un détail ou un commerce que tu ne connaissais pas.","Change juste d'itinéraire pour un trajet habituel.","Entre dans un commerce inconnu et échange deux phrases avec la personne.","Tu réalises que la nouveauté est à deux rues de chez toi. L'ennui recule.","À venir","Non","",""
"17","Mois 1","Le « non » assumé","Confiance en soi","Courage","2","5 min","0 €","Dire « non » clairement à une sollicitation qui ne te convient pas, sans te justifier longuement.","Poser une limite est un acte de respect envers toi-même. Chaque « non » assumé renforce ton sentiment de valeur.","Repère une demande à laquelle tu dirais « oui » par réflexe ou par peur. 2. Décline poliment mais fermement, sans inventer dix excuses. 3. Observe que le ciel ne te tombe pas sur la tête.","Refuse une petite chose à faible enjeu (un démarchage, un extra).","Dis « non » à une demande qui t'embarrasse vraiment.","Tu sens ton espace personnel se renforcer. Tu existes, avec tes limites.","À venir","Non","",""
"18","Mois 1","La to-do de trois","Productivité","Discipline","2","10 min","0 €","Définir tes trois priorités du jour le matin, et les cocher avant le soir.","Une journée sans cap part dans tous les sens. Trois priorités claires concentrent ton énergie sur ce qui compte vraiment.","Le matin, écris exactement trois tâches prioritaires, pas plus. 2. Attaque-les dans l'ordre d'importance au fil de la journée. 3. Le soir, coche celles accomplies et observe ton sentiment de progrès.","Définis une seule priorité non négociable du jour.","Bloque un créneau précis dans ton agenda pour chaque priorité.","Tu finis la journée avec un sentiment de mission accomplie, pas de dispersion.","À venir","Non","",""
"19","Mois 1","Le tri qui libère","Organisation","Discipline","2","15 min","0 €","Désencombrer un espace numérique que tu négliges (galerie, boîte mail, applis).","Le désordre numérique génère une charge mentale sourde et invisible. Faire le vide à l'écran crée de l'espace dans ta tête. (Le tri physique, lui, t'attend au jour 7.)","Choisis une cible numérique : galerie photo, boîte mail, écran d'accueil. 2. Supprime, archive ou désinstalle ce qui ne te sert plus. 3. Observe ton écran allégé une fois terminé.","Désinstalle trois applis que tu n'ouvres jamais.","Range ton écran d'accueil pour ne garder que l'essentiel à portée de pouce.","Tu respires mieux dans un espace allégé. Moins de bruit, plus de clarté.","À venir","Non","",""
"20","Mois 1","Le corps qui s'active à la maison","Sport","Vitalité","2","10 min","0 €","Faire dix minutes d'exercice physique à la maison, sans matériel.","Tu n'as pas besoin d'une salle de sport pour bouger. Une routine courte chez toi prouve que l'excuse « pas le temps » ne tient pas, et complète la marche du jour 8 par un effort plus tonique.","Choisis trois mouvements simples (squats, pompes, gainage). 2. Enchaîne-les en circuit à ton rythme. 3. Termine par 30 secondes d'étirement et note ta respiration.","Fais une version douce : squats lents et pompes sur les genoux.","Filme-toi une série pour corriger ta posture en te revoyant.","Tu sens ton corps capable et réactif. La fierté du sportif du dimanche, en semaine.","À venir","Non","",""
"21","Mois 1","La parole en public miniature","Social","Charisme","3","10 min","0 €","Prendre la parole spontanément dans un groupe ou poser une question à voix haute.","Oser parler devant plusieurs personnes, même brièvement, attaque de front la peur du regard des autres. Tu entres dans la troisième semaine plus affirmé.","Repère une occasion : réunion, cours, groupe d'amis, file d'attente. 2. Pose une question ou donne ton avis à voix audible, sans murmurer. 3. Tiens jusqu'au bout de ta phrase même si le cœur s'emballe.","Pose une question simple à un commerçant ou un agent.","Prends la parole dans une réunion ou un groupe que tu n'oses jamais couper.","Tu prouves que ta voix a sa place. La peur perd un peu de terrain.","À venir","Non","",""
"22","Mois 1","Le matin volé au monde","Discipline","Discipline","3","variable","0 €","Te lever 30 minutes plus tôt que d'habitude et offrir ce temps à une chose pour toi.","Gagner une demi-heure le matin, c'est gagner un espace à toi avant que le monde ne réclame ton attention. La discipline du lever est la mère des autres.","Ce soir, règle ton réveil 30 minutes plus tôt et couche-toi en conséquence. 2. Au réveil, lève-toi dès la première sonnerie, sans snooze. 3. Consacre ces 30 minutes à une chose qui te fait du bien (lecture, sport, calme).","Lève-toi 15 minutes plus tôt seulement.","Pose ton réveil à l'autre bout de la pièce pour t'obliger à te lever.","Tu commences la journée en avance sur toi-même. Sentiment de maîtrise rare et puissant.","À venir","Non","",""
"23","Mois 1","La journée sans plainte","Gestion des émotions","Mental","3","toute la journée","0 €","Passer une journée entière sans te plaindre à voix haute.","La plainte automatique entretient une vision négative et te victimise. T'en priver une journée révèle à quel point elle était devenue un réflexe.","Au réveil, décide consciemment : aujourd'hui, zéro plainte. 2. Chaque fois que tu sens venir une plainte, transforme-la en constat ou en solution. 3. Le soir, note combien de fois tu as failli craquer.","Tiens une demi-journée sans plainte.","Reformule chaque frustration de la journée en une action concrète.","Tu reprends la main sur ton dialogue intérieur. Plus acteur, moins spectateur.","À venir","Non","",""
"24","Mois 1","L'expérience du goût neuf","Expériences nouvelles","Création","3","20 min","~5 €","Goûter un aliment, un plat ou une boisson que tu n'as jamais essayé.","Élargir ton champ d'expériences, même par un détail comme la nourriture, entraîne ton cerveau à dire « oui » à la nouveauté plutôt qu'à fuir.","Repère un produit inconnu (un fruit exotique, un plat d'une autre culture, une épice). 2. Procure-le-toi ou prépare-le. 3. Goûte-le vraiment, en décrivant la saveur avant de juger « j'aime / j'aime pas ».","Goûte une variante inédite d'un plat que tu connais déjà.","Cuisine un plat entier d'une cuisine que tu n'as jamais préparée.","Tu découvres que dire oui à l'inconnu est souvent agréable. Le réflexe s'inverse.","À venir","Non","",""
"25","Mois 1","Le mini-projet créatif","Créativité","Création","3","20 min","0 €","Créer quelque chose de tes mains en vingt minutes, sans viser la perfection.","Produire au lieu de seulement consommer réactive un plaisir oublié et nourrit ton estime. Le « fait » bat le « parfait ».","Choisis un format simple : un dessin, un poème, un montage, une mélodie. 2. Lance un minuteur de 20 minutes et crée sans t'autocensurer. 3. Garde le résultat tel quel, imparfait mais terminé.","Crée quelque chose de minuscule en 10 minutes.","Crée puis partage ta création avec une personne.","Tu retrouves la joie de fabriquer. Fierté de l'objet fini, même modeste.","À venir","Non","",""
"26","Mois 1","L'enveloppe d'épargne","Finances","Prospérité","3","10 min","~5 € mis de côté","Mettre une petite somme de côté et ouvrir ou alimenter une réserve dédiée.","Épargner n'est pas une question de montant mais d'habitude. Le premier euro mis de côté volontairement enclenche une mécanique vertueuse.","Choisis une somme modeste mais réelle (5 €, 10 €, ce que tu peux). 2. Transfère-la sur un compte épargne ou place-la dans une enveloppe physique dédiée. 3. Note la date et la somme : c'est le début de ta réserve.","Mets de côté la monnaie de ta poche du jour.","Mets en place un virement automatique mensuel, même petit.","Tu te sens prévoyant et adulte de ton argent. Un filet qui commence à se tisser.","À venir","Non","",""
"27","Mois 1","La conversation avec un inconnu","Sortie de zone de confort","Courage","3","5 min","0 €","Engager une vraie courte conversation avec une personne que tu ne connais pas.","Briser la glace avec un inconnu est un grand classique de la peur sociale. Le faire prouve que la catastrophe redoutée n'arrive jamais.","Repère une occasion naturelle (file d'attente, commerce, transport). 2. Lance une phrase d'ouverture simple et sincère (une remarque, une question). 3. Échange quelques phrases sans forcer, puis conclus tranquillement.","Échange juste deux phrases polies avec un commerçant.","Pose une question ouverte et tiens une conversation de plusieurs échanges.","Tu désamorces une peur sociale tenace. Le monde devient un peu moins intimidant.","À venir","Non","",""
"28","Mois 1","La déconnexion du soir","Santé","Vitalité","3","60 min avant le coucher","0 €","Couper tous les écrans une heure avant de dormir.","La lumière et la stimulation des écrans sabotent ton sommeil. Une heure de coupure améliore ta récupération et casse l'habitude du scroll au lit.","Fixe ton heure de coucher et soustrais 60 minutes : c'est ton heure de coupure. 2. À ce moment, pose ton téléphone hors de la chambre, écran éteint. 3. Remplace par une activité calme (lecture, étirements, écriture).","Coupe les écrans 30 minutes avant de dormir.","Laisse ton téléphone dans une autre pièce toute la nuit.","Tu retrouves un sommeil plus profond et des soirées plus apaisées. Le lit redevient un lieu de repos.","À venir","Non","",""
"29","Mois 1","Le coup de main offert","Relations","Charisme","3","20 min","0 €","Rendre un service concret à quelqu'un, sans qu'on te le demande.","Donner spontanément renforce tes liens et ton sentiment d'utilité. C'est une petite victoire qui rejaillit sur ton humeur autant que sur l'autre.","Repère un proche, un collègue ou un voisin qui pourrait avoir besoin d'aide. 2. Propose un coup de main précis, ou agis directement (porter, ranger, dépanner). 3. Fais-le sans attendre de remerciement particulier.","Rends un micro-service rapide (tenir une porte, partager une info utile).","Consacre une vraie demi-heure à aider quelqu'un sur une tâche.","Tu te sens connecté et précieux. Aider remplit autant que recevoir.","À venir","Non","",""
"30","Mois 1","Le défi face au miroir","Confiance en soi","Courage","3","5 min","0 €","Te regarder dans le miroir et nommer trois choses que tu apprécies chez toi.","S'adresser de la bienveillance à soi-même est inconfortable au début, et c'est exactement pour ça que c'est utile. Tu débloques le badge **Mois de Fer** si tu n'as raté aucun jour.","Place-toi face à un miroir, sans te presser. 2. Regarde-toi dans les yeux et dis à voix haute trois qualités ou réussites concrètes. 3. Tiens le regard quelques secondes après la dernière phrase.","Note ces trois choses par écrit avant de te les dire.","Adresse-toi une de ces phrases en utilisant ton prénom (« Toi, [prénom], tu… »).","Tu apprends à être ton allié plutôt que ton pire critique. Une confiance qui s'enracine.","À venir","Non","",""
"31","Mois 1","Le bilan des petites victoires","Discipline","Discipline","3","20 min","0 €","Relire ton mois, mesurer le chemin parcouru et formuler ta fierté.","Reconnaître ce que tu as accompli ancre tes efforts dans ta mémoire et transforme une suite de jours en preuve concrète de progression. Tu clôtures ton premier cap.","Reprends tes 30 validations précédentes et relis tes ressentis. 2. Repère les trois défis qui t'ont le plus marqué et écris pourquoi. 3. Note en une phrase ce que ce mois t'a appris sur ta capacité à tenir.","Note simplement les trois plus belles victoires du mois.","Rédige une lettre à ton toi du début de mois pour lui raconter le chemin.","Tu prends la mesure de ta constance. La preuve est là, noir sur blanc : tu avances.","À venir","Non","",""
"32","Mois 2","Filme ton échec, écoute sa leçon","Confiance en soi","Courage","4","20 min","0 €","Te filmer en racontant un échec vécu et la leçon qu'il t'a laissée, puis te réécouter.","Mettre des mots sur un échec face caméra désamorce la honte qui l'entoure. Te réécouter prouve que tu peux regarder ta propre fragilité en face sans t'effondrer — c'est la base d'une confiance lucide.","Choisis un échec concret que tu portes encore un peu, et la leçon que tu en retires aujourd'hui. Filme-toi 2 minutes avec ton téléphone : raconte ce qui s'est passé, puis ce que ça t'a appris. Réécoute la prise une fois, sans te démolir, et note la phrase la plus juste que tu as dite.","Fais-le en audio seulement, sans la vidéo.","Refais une prise plus posée, puis garde la version où tu assumes l'échec sans t'excuser.","Tu transformes un souvenir honteux en récit dont tu es l'auteur, pas la victime.","À venir","Non","",""
"33","Mois 2","La demande inconfortable, en personne","Confiance en soi","Courage","4","20 min","0 €","Faire une demande inconfortable en personne (un rabais, un prêt, une information) et observer le résultat réel.","On imagine toujours le pire avant de demander. Le faire en face, à voix haute, puis comparer la catastrophe imaginée au résultat réel, casse l'illusion que demander est dangereux.","Choisis une demande qui te met légèrement mal à l'aise : un rabais en boutique, un petit prêt, une info qu'on n'ose pas réclamer. Va vers la personne et formule la demande clairement, en la regardant, sans t'excuser dix fois. Note ce qui s'est réellement passé (oui, non, négociation) et compare-le à ce que tu redoutais.","Choisis la demande la plus petite et la plus simple de ta liste.","Enchaîne deux demandes inconfortables différentes dans la journée, à deux endroits.","Tu encaisses la preuve que le pire que tu imagines n'arrive presque jamais.","À venir","Non","",""
"34","Mois 2","Le compliment offert","Social","Charisme","3","5 min","0 €","Faire un compliment sincère et précis à une personne aujourd'hui.","Donner un compliment t'oblige à initier l'échange et à assumer ta parole. C'est une micro-sortie de zone de confort qui crée du lien et muscle ton aisance sociale.","Repère quelque chose de vrai et précis chez quelqu'un (un effort, une idée, un détail). Va vers la personne et formule le compliment clairement, en la regardant. Reste présent une seconde après, sans fuir, pour accueillir sa réaction.","Envoie le compliment par message à un proche.","Fais le compliment à une personne que tu connais peu ou pas.","Tu prouves que prendre l'initiative sociale ne fait pas mal — et que ça fait du bien aux deux.","À venir","Non","",""
"35","Mois 2","Inventaire de victoires","Confiance en soi","Courage","3","15 min","0 €","Lister par écrit dix réussites passées, petites ou grandes.","Ton cerveau retient les échecs et efface les réussites. Les écrire noir sur blanc crée une preuve tangible que tu es déjà capable de beaucoup.","Prends ton carnet et écris en haut « Ce que j'ai déjà réussi ». Note dix réussites, sans filtre : un examen, un déménagement, une amitié gardée, une peur surmontée. Relis la liste à voix haute en finissant par « J'ai fait tout ça ».","Liste-en cinq au lieu de dix.","Pour chaque réussite, note la qualité personnelle qu'elle révèle.","Tu te reconnectes à un palmarès oublié qui prouve que tu avances déjà.","À venir","Non","",""
"36","Mois 2","Le contact visuel assumé","Social","Charisme","3","10 min","0 €","Maintenir le contact visuel et sourire à cinq inconnus dans la journée.","Fuir le regard signale au cerveau qu'il y a un danger. Soutenir le regard, même brièvement, rééduque ce réflexe et installe une présence calme.","En marchant ou en faisant tes courses, croise le regard de cinq personnes. Tiens le contact une seconde de plus que d'habitude et esquisse un sourire. Continue ton chemin naturellement, sans détourner les yeux en premier par gêne.","Vise trois personnes et garde le contact une demi-seconde.","Ajoute un « bonjour » ou un signe de tête à chaque regard.","Tu remplaces l'évitement par une présence assumée, et le monde devient moins menaçant.","À venir","Non","",""
"37","Mois 2","Refuse une demande déjà acceptée","Relations","Charisme","4","15 min","0 €","Revenir sur un « oui » donné à contrecœur et le transformer en refus assumé.","Dire non d'emblée est une chose ; oser se rétracter d'un engagement déjà pris en est une autre, bien plus exposante. Le faire prouve que ton bien-être compte plus que la peur de décevoir.","Repère un engagement que tu as accepté mais que tu regrettes (un service, une sortie, une tâche). Contacte la personne et dis posément : « J'ai réfléchi, je ne pourrai pas tenir cet engagement. » Tiens ta position sans inventer dix raisons, et propose au plus une alternative si tu le souhaites.","Annule un engagement de faible enjeu pris avec un proche compréhensif.","Reviens sur un engagement pris avec quelqu'un dont tu redoutes la réaction.","Tu apprends qu'on peut décevoir sans se faire rejeter, et que ton confort a le droit d'exister.","À venir","Non","",""
"38","Mois 2","La question à voix haute","Sortie de zone de confort","Courage","3","10 min","0 €","Poser une question en public ou en groupe, là où tu te serais tu.","La peur du jugement nous fait avaler nos questions. Les poser quand même prouve que ton avis a sa place et que la honte redoutée n'arrive pas.","Dans une réunion, un cours, un groupe ou un commerce, repère une vraie question que tu as. Lève la main ou prends la parole et pose-la clairement. Remercie pour la réponse, sans t'excuser d'avoir demandé.","Pose ta question à une seule personne plutôt qu'à un groupe.","Pose deux questions dans la même situation, dont une qui t'expose un peu.","Tu découvres que prendre la parole ne provoque pas de catastrophe, juste un peu d'adrénaline utile.","À venir","Non","",""
"39","Mois 2","Cinq vêtements, un don","Organisation","Discipline","3","30 min","0 €","Donner ou vendre 5 vêtements jamais portés, puis offrir le gain.","Se séparer de ce qu'on garde « au cas où » entraîne le lâcher-prise et l'action. Offrir le fruit du tri ajoute du sens : tu transformes un placard saturé en geste utile.","Ouvre ton armoire et sors 5 vêtements que tu n'as jamais (ou presque jamais) portés. Donne-les à une association ou mets-les en vente sur une appli de seconde main. Offre le gain : don à une cause, ou cadeau à un proche si rien n'a été vendu.","Commence par 3 vêtements et un don à une borne de collecte proche.","Étends le tri à 10 pièces et reverse l'intégralité du gain à une cause choisie.","Tu sens la légèreté d'un espace qui se libère et la fierté d'un geste qui sert.","À venir","Non","",""
"40","Mois 2","Demande une recommandation à un inconnu","Social","Charisme","4","10 min","0 €","Aborder une personne inconnue pour lui demander un avis ou une recommandation concrète.","Aller au-delà du simple bonjour en sollicitant l'aide d'un inconnu crée un vrai échange à enjeu. Tu sors du small talk passif pour assumer une interaction qui sert à quelque chose.","Choisis un lieu où l'on peut conseiller : librairie, rayon, salle de sport, marché. Aborde une personne et demande-lui une recommandation précise (un livre, un produit, un bon spot du coin). Écoute vraiment sa réponse, rebondis avec une question, puis remercie chaleureusement.","Demande la recommandation à un membre du personnel plutôt qu'à un client.","Recueille les conseils de deux inconnus différents et prolonge l'échange une minute chacun.","Tu découvres que les gens aiment aider, et qu'aborder un inconnu ouvre des portes au lieu d'en fermer.","À venir","Non","",""
"41","Mois 2","Affronte une mini-peur","Sortie de zone de confort","Courage","3","20 min","0 €","Faire une chose précise qui t'intimide légèrement et que tu repousses.","Chaque peur évitée renforce la peur. La franchir une fois prouve à ton cerveau que tu survis — et la prochaine sera plus facile.","Note la petite chose que tu reportes par appréhension (un appel, une réclamation, un retour à faire). Décide d'une heure précise dans la journée pour l'accomplir. Fais-la sans sur-réfléchir, puis note ce qui s'est réellement passé.","Choisis la version la plus petite possible de cette peur.","Affronte la peur la plus inconfortable de ta liste actuelle.","Tu encaisses la preuve que l'anticipation fait toujours plus mal que l'action.","À venir","Non","",""
"42","Mois 2","Parle de toi en 60 secondes","Confiance en soi","Courage","3","20 min","0 €","Te filmer en train de te présenter avec aisance pendant une minute.","Te voir et t'entendre te présenter désamorce la peur de ta propre image et te force à formuler clairement qui tu es et ce que tu vaux.","Prépare trois points : qui tu es, ce que tu aimes, vers quoi tu vas. Filme-toi une minute avec ton téléphone, debout, posé. Regarde la vidéo une fois, sans te démolir, et note un point fort à garder.","Fais-le en audio seulement, sans la vidéo.","Refais une prise jusqu'à une version fluide que tu pourrais montrer.","Tu apprivoises ton image et ta voix, deux sources fréquentes de gêne.","À venir","Non","",""
"43","Mois 2","Demande une faveur","Social","Charisme","3","10 min","0 €","Demander de l'aide ou un service à quelqu'un aujourd'hui.","Demander expose à un refus possible, ce qui nous bloque. Oser le faire prouve que demander n'est pas une faiblesse mais une compétence.","Identifie un besoin réel : un conseil, un coup de main, une recommandation. Formule la demande clairement et directement, sans tourner autour. Accepte la réponse, oui ou non, sans t'excuser d'avoir demandé.","Demande quelque chose de très simple à un proche.","Demande un service un peu plus grand à une personne moins proche.","Tu désactives la peur du refus en découvrant qu'un « non » ne te diminue pas.","À venir","Non","",""
