ID,Title,Estimate,Sprint,Epic,Labels,Description
LUC-54,Pentest externe + corrections,8,S14,H-Qualité,sécurité,"Périmètre: API, RLS, storage, app. DoD: aucun finding critique/élevé ouvert."
LUC-55,Perf: démarrage <2s + bundle <80Mo,5,S14,H-Qualité,perf,"Profiling + lazy loading. DoD: budgets CI verts sur device réel."
LUC-56,Fiche App Store + review notes santé,3,S15,I-Launch,release,"Lexique claims validé juridique, 17+, privacy labels. DoD: checklist App Store 100%."
LUC-57,TestFlight: cohortes bêta + dashboard KPI,5,S15,I-Launch,analytics,"300-500 bêta, agrégats SQL (⭐ retour post-écart, J7/J30). DoD: dashboard live jour 1 de bêta."
LUC-58,Runbook incidents + kill-switch + astreinte,3,S15,I-Launch,ops,"Flags par module, procédure CNIL 72h, contacts. DoD: exercice d'incident simulé."
LUC-59,Corrections bêta (buffer),13,S16,I-Launch,buffer,"Réserve dédiée aux findings bêta. DoD: zéro bloquant ouvert."
LUC-60,GO/NO-GO + release prod,2,S16,I-Launch,release,"Critères: ⭐≥30% bêta, J30≥12%, 0 incident, crash-free ≥99.5%. DoD: décision écrite CEO+clinicienne."
LUC-61,Corpus 90 cartes (jalons 20/M2 45/M3 90/M4),0,transverse,Contenu,contenu;clinique,"Rédaction + validation clinicienne + intégration pipeline. BLOQUANT M3."
LUC-62,Lexique claims interdits + liste crise validée,0,transverse,Contenu,juridique;clinique,"Revue de tous les textes marketing/in-app + CRISIS_PATTERNS de prod. BLOQUANT bêta."
LUC-63,DPIA complétée,0,transverse,Contenu,juridique;rgpd,"Avant bêta (M3). BLOQUANT bêta."
